,userid,country,age,gender,start_date,ds,count
76783,9694132,FR,74,male,2018-05-04,2020-08-22,2
671606,1295193,NL,19,female,2018-10-29,2020-07-21,1
508270,1588345,US,32,female,2018-07-25,2020-04-14,20
663528,4391699,US,77,male,2018-08-04,2020-08-12,16
498112,4555963,NL,72,male,2018-11-11,2020-07-24,1
321278,6992195,US,33,unknown,2018-01-07,2020-03-07,8
94051,1464369,US,17,male,2018-04-10,2020-08-14,7
210519,8775575,US,55,female,2018-09-23,2020-08-23,12
301500,8293128,US,49,female,2018-04-19,2020-01-10,15
186708,5517034,US,28,unknown,2018-12-03,2020-04-10,4
70083,2550276,IT,37,female,2018-12-15,2020-01-03,2
188375,9136730,UK,44,male,2018-01-13,2020-08-10,5
349471,5661435,US,40,male,2018-11-19,2020-01-01,45
168871,8647205,US,71,male,2018-06-16,2020-06-25,49
418332,6639376,DE,41,female,2018-04-06,2020-08-20,1
481708,1741462,FR,35,male,2018-10-07,2020-03-30,3
446217,1809655,DE,43,male,2018-07-05,2020-04-10,2
638866,9005683,US,27,male,2018-11-21,2020-02-02,29
303898,2213062,NL,36,male,2018-04-03,2020-08-03,5
340590,9968534,DE,35,female,2018-12-19,2020-03-11,2
554847,2233724,NL,44,male,2018-07-02,2020-03-30,6
459530,9553782,DE,15,female,2018-02-16,2020-01-31,1
662773,5508805,US,37,male,2018-07-31,2020-04-13,46
71503,2383531,US,22,male,2018-05-25,2020-03-21,14
12329,1251834,UK,35,male,2018-04-06,2020-03-01,2
235045,1776871,PL,44,female,2018-11-24,2020-07-31,3
363104,6837776,UK,34,male,2018-01-31,2020-08-30,2
481259,8520818,NL,29,male,2018-12-18,2020-01-27,3
273877,3177782,DE,24,female,2018-02-06,2020-04-11,1
516112,5298949,US,54,female,2018-07-20,2020-07-31,4
117460,8264196,CZ,71,male,2018-04-30,2020-03-05,3
480538,1732034,UK,33,male,2018-05-17,2020-06-17,5
72594,4420980,FR,37,male,2018-05-30,2020-08-21,2
601781,5273790,US,45,unknown,2018-10-07,2020-03-05,6
60486,6129916,US,18,female,2018-02-19,2020-02-26,8
83082,2381220,US,46,female,2018-09-08,2020-08-12,8
627718,3941658,PL,19,male,2018-02-04,2020-06-18,2
568516,6971573,US,27,male,2018-09-02,2020-02-16,32
501610,1640562,US,47,male,2018-03-10,2020-03-12,24
209899,8048086,FR,37,male,2018-04-22,2020-08-08,1
242276,6186983,PL,48,female,2018-04-17,2020-08-10,2
417399,6859929,UK,57,male,2018-07-07,2020-06-02,1
443877,4465436,DE,37,male,2018-07-08,2020-05-31,10
87030,3546917,US,38,male,2018-04-08,2020-09-06,42
16107,8237459,US,36,male,2018-08-09,2020-07-16,21
35594,7348581,PL,30,female,2018-02-04,2020-07-16,1
398535,5949284,US,34,male,2018-10-08,2020-04-19,26
59350,6066179,US,26,male,2018-04-12,2020-02-16,35
587507,9903233,US,50,female,2018-03-01,2020-07-08,14
537251,3227913,US,38,male,2018-12-22,2020-06-20,17
494980,8869420,UK,49,male,2018-10-30,2020-08-09,9
368307,5130954,US,15,male,2018-06-16,2020-05-31,21
519811,6389883,NL,40,male,2018-01-15,2020-09-04,5
412385,7748734,US,44,male,2018-09-10,2020-08-15,57
424424,7258400,PL,34,male,2018-07-08,2020-01-26,2
630784,9067495,US,28,male,2018-04-24,2020-05-01,26
562645,4320823,US,45,female,2018-04-05,2020-01-23,15
71104,6075024,US,28,male,2018-11-24,2020-07-06,7
561367,8646450,NL,58,male,2018-06-20,2020-02-19,2
335356,3533729,IT,37,male,2018-12-22,2020-09-07,7
122119,2271784,IT,42,female,2018-10-05,2020-06-12,1
237488,4332453,UK,65,male,2018-10-10,2020-06-10,1
275527,2675305,US,29,male,2018-07-14,2020-03-13,7
550283,5472720,UK,30,unknown,2018-05-26,2020-08-10,1
87533,9339511,NL,35,male,2018-02-14,2020-04-14,5
63040,9429504,US,37,female,2018-02-25,2020-02-28,26
17835,3233121,UK,46,male,2018-03-14,2020-07-05,3
575662,7023792,DE,49,female,2018-10-01,2020-03-24,1
57710,2287926,UK,45,male,2018-06-28,2020-02-15,4
221457,7223975,US,38,male,2018-06-29,2020-03-05,58
331425,1271075,US,39,female,2018-07-23,2020-01-07,34
5081,8259131,US,41,male,2018-03-29,2020-02-21,36
373318,3743746,US,44,male,2018-01-25,2020-03-01,32
651059,5364993,US,33,male,2018-01-27,2020-09-02,12
141164,2542149,US,15,male,2018-11-27,2020-02-04,10
564779,5384560,DE,40,male,2018-10-31,2020-08-03,2
553299,8962224,FI,28,male,2018-02-11,2020-03-25,3
280083,9566385,DK,40,female,2018-11-17,2020-08-13,3
534081,3899554,DE,28,female,2018-02-24,2020-03-11,2
191271,6290041,NL,46,male,2018-10-16,2020-08-11,4
40496,8124877,PL,39,female,2018-10-24,2020-05-11,3
88738,5173463,US,70,male,2018-05-28,2020-02-26,14
222271,4821374,FR,42,female,2018-05-22,2020-02-23,2
270616,7629362,US,61,male,2018-03-29,2020-05-05,6
164793,4872252,PL,22,unknown,2018-03-30,2020-07-30,2
18277,6212912,US,47,unknown,2018-03-28,2020-06-26,6
615800,2874843,IT,26,female,2018-03-04,2020-06-01,1
395124,6564522,UK,35,male,2018-02-12,2020-08-07,7
669075,7458553,FR,60,female,2018-06-09,2020-03-28,1
72480,9137745,US,39,male,2018-08-30,2020-02-08,58
469592,7168869,US,43,female,2018-06-10,2020-02-13,27
627991,7862597,US,29,male,2018-09-15,2020-09-01,65
489728,7579459,US,72,male,2018-04-07,2020-04-23,13
2723,5334608,PL,38,female,2018-12-18,2020-04-01,5
37785,2807854,FR,80,male,2018-06-04,2020-08-18,4
322621,5851744,PL,56,female,2018-10-04,2020-06-07,2
95491,2154390,US,30,male,2018-04-13,2020-08-05,10
261060,6477955,US,55,female,2018-07-19,2020-06-16,7
116775,5480236,US,24,male,2018-01-21,2020-07-24,16
666549,7255873,US,49,male,2018-05-29,2020-03-09,40
542876,8415316,US,46,male,2018-03-19,2020-06-17,30
48954,9473651,US,44,male,2018-03-12,2020-05-09,21
45620,2281428,US,25,male,2018-04-29,2020-04-30,19
519268,2398470,DE,35,male,2018-12-16,2020-06-26,16
522820,6281452,US,16,male,2018-10-24,2020-08-06,9
659694,3885699,DE,30,male,2018-12-14,2020-06-10,13
114779,4978403,US,58,male,2018-04-05,2020-05-13,22
147802,5400425,US,36,male,2018-01-18,2020-05-13,15
497344,2353572,FR,50,male,2018-11-29,2020-04-21,5
613605,6044350,PL,30,male,2018-02-20,2020-05-28,2
571870,1373225,UK,43,unknown,2018-06-04,2020-08-26,1
652326,9136968,NL,29,male,2018-05-28,2020-04-28,4
32231,3185015,PL,57,female,2018-04-26,2020-06-15,1
278489,6923777,US,38,male,2018-03-25,2020-03-25,32
342514,7323721,DE,45,male,2018-01-08,2020-08-27,7
66773,6795273,US,37,female,2018-01-21,2020-03-17,8
656177,7794998,UK,37,female,2018-04-10,2020-02-03,2
274922,3215065,US,39,male,2018-09-17,2020-05-29,16
350781,3130016,UK,70,male,2018-07-21,2020-06-14,2
307132,8123887,US,30,male,2018-03-21,2020-01-26,14
534921,4317788,FI,51,female,2018-07-09,2020-06-06,1
303029,7901163,PL,40,male,2018-03-31,2020-03-03,19
388931,9424014,CZ,36,male,2018-06-11,2020-04-20,5
561245,5902883,US,42,male,2018-04-21,2020-08-09,23
161500,2359945,US,41,male,2018-12-09,2020-02-21,36
197724,4451944,US,13,male,2018-11-04,2020-07-28,10
306431,5711893,FI,29,unknown,2018-05-08,2020-07-17,1
420133,2659464,UK,31,male,2018-01-09,2020-02-27,3
192527,2225858,FR,35,male,2018-05-29,2020-03-05,1
369421,9122744,PL,40,male,2018-05-20,2020-08-15,11
443939,3328528,DE,35,male,2018-06-17,2020-07-02,3
601860,1944971,US,31,female,2018-03-09,2020-01-07,45
477452,3449110,US,43,male,2018-06-26,2020-04-10,28
634744,2027872,US,39,male,2018-10-15,2020-03-05,63
303236,6500946,US,43,female,2018-02-28,2020-01-20,33
548602,8569142,NL,41,male,2018-03-21,2020-09-07,11
44355,9368469,PL,15,male,2018-09-29,2020-04-28,8
16422,5948699,DK,37,male,2018-07-15,2020-01-03,5
665052,6221540,US,31,male,2018-01-21,2020-07-04,12
602117,2094640,DE,36,male,2018-05-23,2020-04-07,5
498188,5547752,IT,33,male,2018-10-22,2020-08-13,3
120272,7407307,US,51,female,2018-04-02,2020-06-17,5
421006,8437350,US,50,male,2018-11-09,2020-01-09,83
64014,4174605,US,44,male,2018-07-14,2020-05-04,24
86779,8056526,US,23,male,2018-04-06,2020-06-18,13
271306,4612971,US,76,female,2018-08-22,2020-07-13,4
302705,6994841,US,52,female,2018-04-01,2020-04-24,1
318804,4259762,US,50,male,2018-11-02,2020-06-16,26
550472,9917740,DK,27,male,2018-06-15,2020-02-28,2
659502,5380325,CZ,64,male,2018-02-23,2020-08-21,1
246685,1375892,US,31,male,2018-06-30,2020-05-07,29
524858,6714478,US,31,female,2018-05-11,2020-08-12,9
90115,4025645,US,44,male,2018-06-05,2020-06-27,25
193330,1725295,US,29,unknown,2018-03-28,2020-08-02,1
292774,1806678,US,64,male,2018-06-16,2020-03-20,5
240427,5724163,US,30,male,2018-02-01,2020-01-07,104
