,userid,country,age,gender,start_date,ds,count
186190,5451743,US,32,male,2018-04-27,2020-04-28,13
16461,3826097,US,13,male,2018-03-15,2020-03-23,10
57813,3643573,US,40,male,2018-07-22,2020-05-23,5
155820,9587528,UK,24,female,2018-08-23,2020-10-30,3
44714,3011381,US,35,male,2018-05-28,2020-06-10,7
97216,2018002,IT,33,male,2018-03-03,2020-04-09,2
193508,7497229,US,25,male,2018-05-02,2020-08-13,21
126035,7508031,NL,58,male,2018-11-02,2020-01-12,1
167907,9872896,CZ,49,male,2018-07-01,2020-10-22,3
121574,8241248,IT,24,male,2018-07-03,2020-04-22,1
112561,3636759,US,15,male,2018-01-29,2020-08-31,23
66587,1446507,US,38,male,2018-05-13,2020-08-31,18
233064,8188421,PL,56,male,2018-08-27,2020-09-02,1
126341,3081847,PL,48,female,2018-07-28,2020-03-29,3
131140,9531753,PL,40,male,2018-03-14,2020-10-10,1
147172,4190890,CZ,24,male,2018-02-17,2020-07-11,3
178513,8902965,NL,23,male,2018-01-20,2020-06-13,2
69699,8631170,DK,24,male,2018-09-12,2020-09-12,3
69256,3008902,US,21,male,2018-07-07,2020-08-21,24
133179,7485192,US,29,female,2018-05-02,2020-10-11,2
215700,5658385,CZ,27,female,2018-12-02,2020-06-08,2
156116,1774461,FR,56,male,2018-05-21,2020-09-04,2
206336,1781096,US,25,male,2018-01-27,2020-04-17,16
213804,5415254,CZ,38,male,2018-10-06,2020-05-25,1
91594,9630495,US,38,male,2018-03-22,2020-04-19,15
212764,7322989,UK,32,female,2018-12-15,2020-08-29,1
107144,9206373,DK,68,unknown,2018-04-21,2020-05-15,1
208437,4732147,US,69,male,2018-06-09,2020-10-28,5
184821,9166660,PL,16,unknown,2018-08-04,2020-05-07,1
137090,7039646,US,16,male,2018-09-05,2020-08-23,19
143404,7644949,PL,29,male,2018-04-15,2020-05-22,2
1094,9318919,US,47,female,2018-08-31,2020-09-22,5
129298,8565496,DK,20,male,2018-08-01,2020-10-23,4
113450,2013399,NL,42,male,2018-07-23,2020-07-30,1
233495,3402814,PL,72,male,2018-12-06,2020-08-05,1
11191,1268175,DE,18,female,2018-09-25,2020-10-30,2
5401,9441054,PL,15,male,2018-06-15,2020-09-27,8
82612,2335411,PL,18,male,2018-05-25,2020-07-07,4
70296,1672279,IT,36,female,2018-03-15,2020-08-31,1
167364,7367086,DK,16,female,2018-04-09,2020-09-12,3
211322,3558386,PL,16,male,2018-09-07,2020-08-05,2
207521,3481062,US,40,male,2018-09-04,2020-09-08,12
43166,3157421,DE,46,male,2018-01-18,2020-09-07,2
7555,4683916,NL,14,male,2018-01-23,2020-06-09,2
32673,4241551,IT,44,male,2018-06-24,2020-06-04,1
23424,9110592,NL,32,female,2018-05-31,2020-08-29,2
137495,6594750,DK,32,male,2018-01-25,2020-03-22,3
83280,9057120,US,30,male,2018-03-31,2020-08-29,8
99066,7091010,US,24,male,2018-10-03,2020-03-29,16
184950,2132700,US,37,female,2018-11-20,2020-09-08,5
147160,9947364,US,76,male,2018-01-18,2020-01-04,1
214112,4932069,US,14,female,2018-01-19,2020-04-05,5
25508,9707514,US,45,female,2018-06-12,2020-02-06,1
111334,8659146,DE,21,male,2018-06-19,2020-09-15,2
156624,9123183,US,15,male,2018-08-28,2020-10-04,10
14361,5124863,DK,25,female,2018-05-15,2020-03-05,2
218327,5372782,US,17,male,2018-02-24,2020-08-03,11
84370,6978068,US,39,male,2018-01-23,2020-05-14,11
118115,2184561,US,28,male,2018-03-19,2020-04-25,15
185472,4412346,FR,22,male,2018-10-07,2020-09-15,2
