w p
0.001 0.8468051921094863
0.001 0.44299886889925144
0.001 0.805428341417481
0.001 0.16122544839256783
0.001 0.662486273963786
0.001 0.7576296403439404
0.001 0.9168075289098102
0.001 0.9925102558960958
0.001 0.0012203966042535737
0.001 0.18499785419243683
0.001 0.34542911281905375
0.001 0.9126631712248585
0.001 0.7213446343431075
0.001 0.3504739101108274
0.001 0.6558013978327493
0.001 0.4289127970803732
0.001 0.7217648612995705
0.001 0.7143832843090209
0.001 0.41953141817119044
0.001 0.6899383056334994
0.001 0.291271883969706
0.001 0.9045039406707722
0.001 0.5958545393901477
0.001 0.0012729678508899367
0.001 0.9872479177749632
0.001 0.8074966617618152
0.001 0.7327702975045145
0.001 0.8254960830542423
0.001 0.8722227797637064
0.001 0.9609972115412261
0.001 0.998834616219368
0.001 0.6351379440137538
0.001 0.6840256178291925
0.001 0.9962089103303443
0.001 0.6244324896136174
0.001 0.7401185848434078
0.001 0.8973661710319378
0.001 0.07941778354572755
0.001 0.9931475764702423
0.001 0.9520695321631935
0.001 0.9443758425031447
0.001 0.11394310322990713
0.001 0.022590591762897162
0.001 0.25619454084039034
0.001 0.5661730330581138
0.001 0.7052391438819537
0.001 0.058081524331379815
0.001 0.8970587873780648
0.001 0.9294200377809164
0.001 0.7645763244158882
0.001 0.2109744944224545
0.001 0.8288997369873603
0.001 0.0039003212563775438
0.001 0.8396739268484241
0.001 0.8118028024518303
0.001 0.06353284230872859
0.001 0.3798592046753304
0.001 0.5844694386113557
0.001 0.007193445730637431
0.001 0.29986805353994606
0.001 0.9060029574022772
0.001 0.20977615902428426
0.001 0.5861658929280501
0.001 0.857455315493218
0.001 0.24301989408633154
0.001 0.03700401204631264
0.001 0.4765883859305275
0.001 0.20377227183017213
0.001 0.03158351316217871
0.001 0.5156135550096407
0.001 0.9948829571528737
0.001 0.6542515912239102
0.001 0.9430007126007801
0.001 0.789634769631472
0.001 0.275266173175049
0.001 0.003429133199255445
0.001 0.11571053514460578
0.001 0.21455232226290163
0.001 0.43166586552509223
0.001 0.018022075204585115
0.001 0.9413508164280106
0.001 0.916424961851483
0.001 0.04815867564765112
0.001 0.9621886838691125
0.001 0.8262736350166127
0.001 0.14108411660651898
0.001 0.003680842348828053
0.001 0.0772897115518156
0.001 0.09514443137854352
0.001 0.5670917135887658
